gene,pathway
# Gene -> pathway / target class for the CRISPRi arm.
#
# THIS FILE IS YOURS TO EDIT. Filled in from the known molecular function of
# each gene's product, using the SAME class names as the antibiotic MoA
# table (annotations/drug_moa.csv) so a gyrase-knockdown CRISPRi point and a
# fluoroquinolone (Gyrase) point land in the same colour class -- which is
# what makes "does this knockdown sit where that antibiotic sits?" a
# question you can answer by eye rather than one you have to look up.
#
# A GO enrichment (clusterProfiler, BP+MF+CC, gap-statistic clustering; see
# ../Gene Ontology/go_analysis.R, run 2026-09-15 against this exact 28-gene
# panel) grouped these genes data-drivenly but did not use MoA vocabulary
# and conflated some mechanistically distinct genes (e.g. gyrA/gyrB/parC/
# parE with dnaB/dnaE under one "chromosome organization" cluster, which
# would have merged Gyrase with DNA synthesis). The mapping below instead
# uses each gene's established molecular target, matched to the MoA table's
# own vocabulary:
#
#   Cell wall (PBP 1)   Cell wall (PBP 2)   Cell wall (PBP 3)
#   Gyrase              Ribosome            Membrane integrity
#   RNA polymerase      DNA synthesis       Control
#   Folate synthesis    Cell division       Protein secretion
#
# The last three are not in the antibiotic MoA table (no antibiotic in this
# panel targets them), so they get their own colour rather than a forced fit.
#
# Any other name works too; it just gets its own colour.
# Lines starting with # are ignored, as are blank pathway cells.
ACE-1 NC,Control
MG1655 NC,Control
dnaB,DNA synthesis
dnaE,DNA synthesis
folA,Folate synthesis
folP,Folate synthesis
ftsI,Cell wall (PBP 3)
ftsZ,Cell division
gyrA,Gyrase
gyrB,Gyrase
lptA,Membrane integrity
lptC,Membrane integrity
lpxA,Membrane integrity
lpxC,Membrane integrity
mrcA,Cell wall (PBP 1)
mrcB,Cell wall (PBP 1)
mrdA,Cell wall (PBP 2)
msbA,Membrane integrity
murA,Cell wall (PBP 2)
murC,Cell wall (PBP 2)
parC,Gyrase
parE,Gyrase
rplA,Ribosome
rplC,Ribosome
rpoA,RNA polymerase
rpoB,RNA polymerase
rpsA,Ribosome
rpsL,Ribosome
secA,Protein secretion
secY,Protein secretion
